Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Years
9.3,0,0.016047301,4,249.8092,9,1,0,1,25
5.92,1,0.019278216,14,48.2692,3,1,2,2,15
17.5,0,0.016760075,10,141.618,9,1,0,1,25
19.2,1,0.0,6,182.095,0,1,2,0,26
8.93,0,0.0,9,53.8614,1,0,2,1,37
10.395,1,0.0,0,51.4008,3,1,2,2,15
13.65,1,0.012741089,13,57.6588,1,0,2,1,37
12.6,0,0.127469857,13,107.7622,5,1,2,3,39
16.2,1,0.016687114,5,96.9726,7,1,1,1,22
19.2,1,0.09444959,5,187.8214,2,1,1,1,17
